# ordinal	sha	result	oss_commit	detail
93	63e2466b77d28efcf6e32feecf8224b9466ae751	applied	5db7156dafba584f7f3defde5d4998d77316cf25	oss-paths-only
94	524e51a39b0304e7c3cf003f8ffd4b1882ef93f0	applied	a6fe1dbabc92e17a429e2e6ed5ffa7615e7af8db	oss-paths-only
95	4a73ff0bfa4c2be20be35948b7d01c967aadacc6	empty	-	already present or EE-only after boundary strip
96	613a8fda52c23160a87762f37b0595aa551ecc20	empty	-	already present or EE-only after boundary strip
97	a8f34002f813a0a442a76fd67b8a4185b0231199	conflict	-	api-server/migrations/migrations/app/atlas.sum,notifications-server/notifications_server/configs/settings.py,notifications-server/notifications_server/models/models.py,notifications-server/notifications_server/services/cache.py
99	56116328f33ce88aec1e069ed2a3fa2f8d908363	applied	16396959e2e69ae3b1ce4a36ea6275f262408333	oss-paths-only
100	75bc458cd30aa9ae3b057eaaa8d1d423e2b5f4ee	conflict	-	llm/llm-server/agents/core/kb_prestep_test.go,llm/llm-server/tools/core/rag_service.go
101	b38017f721a72bbb657fc4c9d21c5b8a61d481a9	conflict	-	app/src/components/common/navigation/GlobalPageSearch.jsx
102	642596281a46fdf77de0b3433d67e3c52c4964e0	conflict	-	api-server/migrations/migrations/app/atlas.sum
103	98fd4dcb9de6361e4c856e6c36551878a0042873	conflict	-	api-server/services/observability/log_default_filters.go
104	7f7b14183622586096db213e28e52ccbdd3201d5	applied	fb7aece7d9ec73fedbb173e792e55cc24d972e8e	oss-paths-only
105	b27ccbd8b9c0443b04a2952987f18fb3be87aabe	applied	ce0288f676e59feafc13716a16b3bb76af879c6c	oss-paths-only
106	1c3eb5cbf28aef2d07472fabe8f5ffa69f2b6460	applied	23b330f159b626eb5f4abb646af8ef3d59b3b8f0	oss-paths-only
108	ae5f10c4e3671558653c54fe7565ef523fad49f5	applied	4fb258d00b75d538bc9d21850931502ffd2646e5	oss-paths-only
110	d6a05f2105ebcc2cd1c65e26675a542ea516b158	conflict	-	api-server/services/knowledge_graph/core/service.go,app/src/components/knowledge-graph/KnowledgeGraph.jsx
